Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1947,21.48,21.62,22.00,22.00,21.95,22.08,22.23,22.40,22.84,22.91,23.06,23.41,
1948,23.68,23.67,23.50,23.82,24.01,24.15,24.40,24.43,24.36,24.31,24.16,24.05,
1949,24.01,23.91,23.91,23.92,23.91,23.92,23.70,23.70,23.75,23.67,23.70,23.61,
1950,23.51,23.61,23.64,23.65,23.77,23.88,24.07,24.20,24.34,24.50,24.60,24.98,
1951,25.38,25.83,25.88,25.92,25.99,25.93,25.91,25.86,26.03,26.16,26.32,26.47,
1952,26.45,26.41,26.39,26.46,26.47,26.53,26.68,26.69,26.63,26.69,26.69,26.71,
1953,26.64,26.59,26.63,26.69,26.70,26.77,26.79,26.85,26.89,26.95,26.85,26.87,
1954,26.94,26.99,26.93,26.86,26.93,26.94,26.86,26.85,26.81,26.72,26.78,26.77,
1955,26.77,26.82,26.79,26.79,26.77,26.71,26.76,26.72,26.85,26.82,26.88,26.87,
1956,26.83,26.86,26.89,26.93,27.03,27.15,27.29,27.31,27.35,27.51,27.51,27.63,
1957,27.67,27.80,27.86,27.93,28.00,28.11,28.19,28.28,28.32,28.32,28.41,28.47,
1958,28.64,28.70,28.87,28.94,28.94,28.91,28.89,28.94,28.91,28.91,28.95,28.97,
1959,29.01,29.00,28.97,28.98,29.04,29.11,29.15,29.18,29.25,29.35,29.35,29.41,
1960,29.37,29.41,29.41,29.54,29.57,29.61,29.55,29.61,29.61,29.75,29.78,29.81,
1961,29.84,29.84,29.84,29.81,29.84,29.84,29.92,29.94,29.98,29.98,29.98,30.01,
1962,30.04,30.11,30.17,30.21,30.24,30.21,30.22,30.28,30.42,30.38,30.38,30.38,
1963,30.44,30.48,30.51,30.48,30.51,30.61,30.69,30.75,30.72,30.75,30.78,30.88,
1964,30.94,30.91,30.94,30.95,30.98,31.01,31.02,31.05,31.08,31.12,31.21,31.25,
1965,31.28,31.28,31.31,31.38,31.48,31.61,31.58,31.55,31.62,31.65,31.75,31.85,
1966,31.88,32.08,32.18,32.28,32.35,32.38,32.45,32.65,32.75,32.85,32.88,32.92,
1967,32.90,33.00,33.00,33.10,33.10,33.30,33.40,33.50,33.60,33.70,33.90,34.00,
1968,34.10,34.20,34.30,34.40,34.50,34.70,34.90,35.00,35.10,35.30,35.40,35.60,
1969,35.70,35.80,36.10,36.30,36.40,36.60,36.80,36.90,37.10,37.30,37.50,37.70,
1970,37.90,38.10,38.30,38.50,38.60,38.80,38.90,39.00,39.20,39.40,39.60,39.80,
1971,39.90,39.90,40.00,40.10,40.30,40.50,40.60,40.70,40.80,40.90,41.00,41.10,
1972,41.20,41.40,41.40,41.50,41.60,41.70,41.80,41.90,42.10,42.20,42.40,42.50,
1973,42.70,43.00,43.40,43.70,43.90,44.20,44.20,45.00,45.20,45.60,45.90,46.30,
1974,46.80,47.30,47.80,48.10,48.60,49.00,49.30,49.90,50.60,51.00,51.50,51.90,
1975,52.30,52.60,52.80,53.00,53.10,53.50,54.00,54.20,54.60,54.90,55.30,55.60,
1976,55.80,55.90,56.00,56.10,56.40,56.70,57.00,57.30,57.60,57.90,58.10,58.40,
1977,58.70,59.30,59.60,60.00,60.20,60.50,60.80,61.10,61.30,61.60,62.00,62.30,
1978,62.70,63.00,63.40,63.90,64.50,65.00,65.50,65.90,66.50,67.10,67.50,67.90,
1979,68.50,69.20,69.90,70.60,71.40,72.20,73.00,73.70,74.40,75.20,76.00,76.90,
1980,78.00,79.00,80.10,80.90,81.70,82.50,82.60,83.20,83.90,84.70,85.60,86.40,
1981,87.20,88.00,88.60,89.10,89.70,90.50,91.50,92.20,93.10,93.40,93.80,94.10,
1982,94.40,94.70,94.70,95.00,95.90,97.00,97.50,97.70,97.70,98.10,98.00,97.70,
1983,97.90,98.00,98.10,98.80,99.20,99.40,99.80,100.10,100.40,100.80,101.10,101.40,
1984,102.10,102.60,102.90,103.30,103.50,103.70,104.10,104.40,104.70,105.10,105.30,105.50,
1985,105.70,106.30,106.80,107.00,107.20,107.50,107.70,107.90,108.10,108.50,109.00,109.50,
1986,109.90,109.70,109.10,108.70,109.00,109.40,109.50,109.60,110.00,110.20,110.40,110.80,
1987,111.40,111.80,112.20,112.70,113.00,113.50,113.80,114.30,114.70,115.00,115.40,115.60,
1988,116.00,116.20,116.50,117.20,117.50,118.00,118.50,119.00,119.50,119.90,120.30,120.70,
1989,121.20,121.60,122.20,123.10,123.70,124.10,124.50,124.50,124.80,125.40,125.90,126.30,
1990,127.50,128.00,128.60,128.90,129.10,129.90,130.50,131.60,132.50,133.40,133.70,134.20,
1991,134.70,134.80,134.80,135.10,135.60,136.00,136.20,136.60,137.00,137.20,137.80,138.20,
1992,138.30,138.60,139.10,139.40,139.70,140.10,140.50,140.80,141.10,141.70,142.10,142.30,
1993,142.80,143.10,143.30,143.80,144.20,144.30,144.50,144.80,145.00,145.60,146.00,146.30,
1994,146.30,146.70,147.10,147.20,147.50,147.90,148.40,149.00,149.30,149.40,149.80,150.10,
1995,150.50,150.90,151.20,151.80,152.10,152.40,152.60,152.90,153.10,153.50,153.70,153.90,
1996,154.70,155.00,155.50,156.10,156.40,156.70,157.00,157.20,157.70,158.20,158.70,159.10,
1997,159.40,159.70,159.80,159.90,159.90,160.20,160.40,160.80,161.20,161.50,161.70,161.80,
1998,162.00,162.00,162.00,162.20,162.60,162.80,163.20,163.40,163.50,163.90,164.10,164.40,
1999,164.70,164.70,164.80,165.90,166.00,166.00,166.70,167.10,167.80,168.10,168.40,168.80,
2000,169.30,170.00,171.00,170.90,171.20,172.20,172.70,172.70,173.60,173.90,174.20,174.60,
2001,175.60,176.00,176.10,176.40,177.30,177.70,177.40,177.40,178.10,177.60,177.50,177.40,
2002,177.7,178.0,178.5,179.3,179.5,179.6,180.0,180.5,180.8,181.2,181.5,181.8,
2003,182.6,183.6,183.9,183.2,182.9,183.1,183.7,184.5,185.1,184.9,185.0,185.5,
2004,186.3,186.7,187.1,187.4,188.2,188.9,189.1,189.2,189.8,190.8,191.7,191.7,
2005,191.6,192.4,193.1,193.7,193.6,193.7,194.9,196.1,198.8,199.1,198.1,198.1,
2006,199.3,199.4,199.7,200.7,201.3,201.8,202.9,203.8,202.8,201.9,202.0,203.1,
2007,203.437,204.226,205.288,205.904,206.755,207.234,207.603,207.667,208.547,209.190,210.834,211.445,
2008,212.199,212.623,213.441,213.971,215.206,217.470,219.090,218.749,218.872,216.966,213.074,211.401,
2009,211.962,212.823,212.561,212.705,212.977,214.744,214.726,215.479,215.883,216.476,217.113,217.330,
2010,217.469,217.397,217.440,217.373,217.182,217.206,217.649,218.062,218.364,219.020,219.441,220.414,
2011,221.036,222.008,223.193,224.030,224.634,224.837,225.515,226.266,226.870,226.804,227.014,227.033,
2012,227.505,228.433,229.098,229.177,228.527,228.618,228.723,230.102,,,, 
