item_code	item_name
AA0	All items                                                                                           	
AA0R	Purchasing power of the consumer dollar                                                             	
SA0	All items                                                                                           	
SA0E	Energy                                                                                              	
SA0L1	All items less food                                                                                 	
SA0L12	All items less food and shelter                                                                     	
SA0L12E	All items less food, shelter, and energy                                                            	
SA0L12E4	All items less food, shelter, energy, and used cars                                                 	
SA0L1E	All items less food and energy                                                                      	
SA0L2	All items less shelter                                                                              	
SA0L22	All items less homeowners' costs                                                                    	
SA0L5	All items less medical care                                                                         	
SA0LE	All items less energy                                                                               	
SA0R	Purchasing power of the consumer dollar                                                             	
SA1	Food and beverages                                                                                  	
SA11	Food                                                                                                	
SA111	Food at home                                                                                        	
SA1111	Cereals and bakery products                                                                         	
SA1112	Meats, poultry, fish, and eggs                                                                      	
SA11121	Meats, poultry, and fish                                                                            	
SA111211	Meats                                                                                               	
SA1113	Dairy products                                                                                      	
SA1114	Fruits and vegetables                                                                               	
SA11141	Fresh fruits and vegetables                                                                         	
SA11142	Processed fruits and vegetables                                                                     	
SA1115	Other food at home                                                                                  	
SA2	Housing                                                                                             	
SA21	Shelter                                                                                             	
SA211	Renters' costs                                                                                      	
SA2112	Other renters' costs                                                                                	
SA213	Household maintenance and repairs                                                                   	
SA22	Fuel and other utilities                                                                            	
SA221	Fuels                                                                                               	
SA23	Household furnishings and operation                                                                 	
SA231	Housefurnishings                                                                                    	
SA2313	Appliances, including electronic equipment                                                          	
SA3	Apparel and upkeep                                                                                  	
SA31	Apparel commodities                                                                                 	
SA311	Apparel commodities less footwear                                                                   	
SA3111	Men's and boys' apparel                                                                             	
SA3112	Women's and girls' apparel                                                                          	
SA3114	Other apparel commodities                                                                           	
SA4	Transportation                                                                                      	
SA41	Private transportation                                                                              	
SA415	Other private transportation                                                                        	
SA4151	Other private transportation commodities                                                            	
SA4152	Other private transportation services                                                               	
SA5	Medical care                                                                                        	
SA51	Medical care commodities                                                                            	
SA512	Medical care services                                                                               	
SA6	Entertainment                                                                                       	
SA61	Entertainment commodities                                                                           	
SA7	Other goods and services                                                                            	
SA712	Personal care                                                                                       	
SA713	Personal and educational expenses                                                                   	
SA7132	Personal and educational services                                                                   	
SAC	Commodities                                                                                         	
SACE	Energy commodities                                                                                  	
SACL1	Commodities less food                                                                               	
SACL11	Commodities less food and beverages                                                                 	
SACL1E	Commodities less food and energy commodities                                                        	
SACL1E4	Commodities less food, energy commodities, and used cars                                            	
SAD	Durables                                                                                            	
SAN	Nondurables                                                                                         	
SAN1D	Domestically produced farm food                                                                     	
SAN1S	Selected beef cuts                                                                                  	
SANL1	Nondurables less food                                                                               	
SANL11	Nondurables less food and beverages                                                                 	
SANL113	Nondurables less food, beverages and apparel                                                        	
SANL13	Nondurables less food and apparel                                                                   	
SAS	Services                                                                                            	
SAS22	Housekeeping and home maintenance services                                                          	
SAS24	Utilities and public transportation                                                                 	
SAS2LSRS	Household services less rent of shelter                                                             	
SAS2RS	Rent of shelter                                                                                     	
SAS367	Other services                                                                                      	
SAS4	Transportation services                                                                             	
SASL2RS	Services less rent of shelter                                                                       	
SASL5	Services less medical care services                                                                 	
SASLE	Services less energy services                                                                       	
SE01	Cereals and cereal products                                                                         	
SE0101	Flour and prepared flour mixes                                                                      	
SE0102	Cereal                                                                                              	
SE0103	Rice, pasta, and cornmeal                                                                           	
SE02	Bakery products                                                                                     	
SE0201	White bread                                                                                         	
SE0202	Fresh other bread, biscuits, rolls, and muffins                                                     	
SE0204	Cookies, fresh cakes, and cupcakes                                                                  	
SE0206	Other bakery products                                                                               	
SE03	Beef and veal                                                                                       	
SE0301	Ground beef other than canned                                                                       	
SE0302	Chuck roast                                                                                         	
SE0303	Round roast                                                                                         	
SE0304	Other beef and veal                                                                                 	
SE0305	Round steak                                                                                         	
SE0306	Sirloin steak                                                                                       	
SE04	Pork                                                                                                	
SE0401	Bacon                                                                                               	
SE0402	Pork chops                                                                                          	
SE0403	Ham                                                                                                 	
SE0404	Other pork, including sausage                                                                       	
SE05	Other meats                                                                                         	
SE06	Poultry                                                                                             	
SE0601	Fresh whole chicken                                                                                 	
SE0602	Fresh and frozen chicken parts                                                                      	
SE0603	Other poultry                                                                                       	
SE07	Fish and seafood                                                                                    	
SE0701	Canned fish and seafood                                                                             	
SE0702	Fresh and frozen fish and seafood                                                                   	
SE08	Eggs                                                                                                	
SE09	Fresh milk and cream                                                                                	
SE0901	Fresh whole milk                                                                                    	
SE0902	Other fresh milk and cream                                                                          	
SE10	Processed dairy products                                                                            	
SE1001	Other dairy products, including butter                                                              	
SE1002	Cheese                                                                                              	
SE1004	Ice cream and related products                                                                      	
SE11	Fresh fruits                                                                                        	
SE1101	Apples                                                                                              	
SE1102	Bananas                                                                                             	
SE1103	Oranges, including tangerines                                                                       	
SE1104	Other fresh fruits                                                                                  	
SE12	Fresh vegetables                                                                                    	
SE1201	Potatoes                                                                                            	
SE1202	Lettuce                                                                                             	
SE1203	Tomatoes                                                                                            	
SE1204	Other fresh vegetables                                                                              	
SE13	Processed fruits                                                                                    	
SE1301	Fruit juices and frozen fruit                                                                       	
SE1303	Canned and dried fruits                                                                             	
SE14	Processed vegetables                                                                                	
SE1401	Frozen vegetables                                                                                   	
SE1402	Other processed vegetables                                                                          	
SE15	Sugar and sweets                                                                                    	
SE1501	Sweets, including candy                                                                             	
SE1502	Sugar and artificial sweeteners                                                                     	
SE16	Fats and oils                                                                                       	
SE17	Nonalcoholic beverages                                                                              	
SE1701	Carbonated drinks                                                                                   	
SE1703	Coffee                                                                                              	
SE1705	Other noncarbonated drinks                                                                          	
SE18	Other prepared food                                                                                 	
SE1801	Canned and packaged soup                                                                            	
SE1802	Frozen prepared food                                                                                	
SE1803	Snacks                                                                                              	
SE1804	Seasonings, condiments, sauces, and spices                                                          	
SE1806	Miscellaneous prepared food, including baby food                                                    	
SE19	Food away from home                                                                                 	
SE1901	Lunch                                                                                               	
SE1902	Dinner                                                                                              	
SE1903	Other meals and snacks                                                                              	
SE20	Alcoholic beverages                                                                                 	
SE2001	Beer and ale at home                                                                                	
SE2002	Distilled spirits at home                                                                           	
SE2003	Wine at home                                                                                        	
SE2005	Alcoholic beverages away from home                                                                  	
SE200A	Alcoholic beverages at home                                                                         	
SE2101	Rent, residential                                                                                   	
SE2102	Lodging while out of town                                                                           	
SE2103	Lodging while at school                                                                             	
SE22	Homeowners' costs                                                                                   	
SE2201	Owners' equivalent rent                                                                             	
SE2202	Household insurance                                                                                 	
SE23	Household maintenance and repair services                                                           	
SE24	Household maintenance and repair commodities                                                        	
SE2401	Materials, supplies, and equipment for home repairs                                                 	
SE2404	Other household maintenance and repair commodities                                                  	
SE25	Fuel oil and other household fuel commodities                                                       	
SE2501	Fuel oil                                                                                            	
SE2502	Other household fuel commodities                                                                    	
SE26	Gas (piped) and electricity (energy services)                                                       	
SE2601	Electricity                                                                                         	
SE2602	Utility (piped) gas                                                                                 	
SE27	Other utilities and public services                                                                 	
SE2701	Telephone, local charges                                                                            	
SE2702	Water and sewerage maintenance                                                                      	
SE2703	Cable television                                                                                    	
SE2704	Refuse collection                                                                                   	
SE2705	Telephone, interstate toll calls                                                                    	
SE2706	Telephone, intrastate toll calls                                                                    	
SE270A	Telephone services                                                                                  	
SE28	Textile housefurnishings                                                                            	
SE29	Furniture and bedding                                                                               	
SE2901	Bedroom furniture                                                                                   	
SE2902	Sofas                                                                                               	
SE2903	Living room chairs and tables                                                                       	
SE2904	Other furniture                                                                                     	
SE30	Major household appliances                                                                          	
SE3001	Refrigerators and home freezers                                                                     	
SE3002	Laundry equipment                                                                                   	
SE3003	Stoves, ovens, dishwashers, and air conditioners                                                    	
SE31	Video and audio products                                                                            	
SE3101	Televisions                                                                                         	
SE3102	Video products other than televisions                                                               	
SE3103	Audio products                                                                                      	
SE32	Other housefurnishings                                                                              	
SE3201	Floor and window coverings, infants', laundry, cleaning, and                                        	
SE3202	Clocks, lamps, and decor items                                                                      	
SE3203	Tableware, serving pieces, and nonelectric kitchenware                                              	
SE3204	Lawn equipment, power tools, and other hardware                                                     	
SE3205	Sewing, floor cleaning, small kitchen, and portable heating                                         	
SE3206	Indoor plants and fresh cut flowers                                                                 	
SE33	Housekeeping supplies                                                                               	
SE3301	Laundry and cleaning products, including soap                                                       	
SE3303	Household paper products and stationery supplies                                                    	
SE3305	Other household, lawn, and garden supplies                                                          	
SE34	Housekeeping services                                                                               	
SE3401	Postage                                                                                             	
SE3404	Gardening and other household services                                                              	
SE3406	Appliance and furniture repair                                                                      	
SE35	Tenants' insurance                                                                                  	
SE36	Men's apparel                                                                                       	
SE3601	Men's suits, sport coats, coats, and jackets                                                        	
SE3603	Men's furnishings and special clothing                                                              	
SE3604	Men's shirts                                                                                        	
SE3605	Men's dungarees, jeans, and trousers                                                                	
SE37	Boys' apparel                                                                                       	
SE38	Women's  apparel                                                                                    	
SE3801	Women's coats and jackets                                                                           	
SE3802	Women's dresses                                                                                     	
SE3803	Women's separates and sportswear                                                                    	
SE3804	Women's underwear, nightwear, hosiery, and accessories                                              	
SE3805	Women's suits                                                                                       	
SE39	Girls' apparel                                                                                      	
SE40	Footwear                                                                                            	
SE4001	Men's footwear                                                                                      	
SE4002	Boys' and girls' footwear                                                                           	
SE4003	Women's footwear                                                                                    	
SE41	Infants' and toddlers' apparel                                                                      	
