series_id	area_code	item_code	seasonal	periodicity_code	base_code	base_period	footnote_codes	begin_year	begin_period	end_year	end_period
MUSR0000SA0      	0000	SA0	S	R	S	1982-84=100		1947	M01	1997	M12
MUSR0000SA0E     	0000	SA0E	S	R	S	1982-84=100		1957	M01	1997	M12
MUSR0000SA0L1    	0000	SA0L1	S	R	S	1982-84=100		1947	M01	1997	M12
MUSR0000SA0L12   	0000	SA0L12	S	R	S	1982-84=100		1967	M01	1997	M12
MUSR0000SA0L12E  	0000	SA0L12E	S	R	S	1982-84=100		1967	M01	1997	M12
MUSR0000SA0L12E4 	0000	SA0L12E4	S	R	S	1982-84=100		1967	M01	1997	M12
MUSR0000SA0L1E   	0000	SA0L1E	S	R	S	1982-84=100		1957	M01	1997	M12
MUSR0000SA0L2    	0000	SA0L2	S	R	S	1982-84=100		1947	M01	1997	M12
MUSR0000SA0L22   	0000	SA0L22	S	R	S	DECEMBER 1982=100		1982	M12	1997	M12
MUSR0000SA0L5    	0000	SA0L5	S	R	S	1982-84=100		1957	M01	1997	M12
MUSR0000SA0LE    	0000	SA0LE	S	R	S	1982-84=100		1957	M01	1997	M12
MUSR0000SA1      	0000	SA1	S	R	S	1982-84=100		1967	M01	1997	M12
MUSR0000SA11     	0000	SA11	S	R	S	1982-84=100		1947	M01	1997	M12
MUSR0000SA111    	0000	SA111	S	R	S	1982-84=100		1952	M01	1997	M12
MUSR0000SA1111   	0000	SA1111	S	R	S	1982-84=100		1989	M01	1997	M12
MUSR0000SA1112   	0000	SA1112	S	R	S	1982-84=100		1967	M01	1997	M12
MUSR0000SA11121  	0000	SA11121	S	R	S	1982-84=100		1947	M01	1997	M12
MUSR0000SA111211 	0000	SA111211	S	R	S	1982-84=100		1947	M01	1997	M12
MUSR0000SA1113   	0000	SA1113	S	R	S	1982-84=100		1989	M01	1997	M12
MUSR0000SA1114   	0000	SA1114	S	R	S	1982-84=100		1947	M01	1997	M12
MUSR0000SA11141  	0000	SA11141	S	R	S	1982-84=100		1947	M01	1997	M12
MUSR0000SA11142  	0000	SA11142	S	R	S	1982-84=100		1982	M01	1997	M12
MUSR0000SA1115   	0000	SA1115	S	R	S	1982-84=100		1967	M01	1997	M12
MUSR0000SA2      	0000	SA2	S	R	S	1982-84=100		1967	M01	1997	M12
MUSR0000SA21     	0000	SA21	S	R	S	1982-84=100		1953	M01	1997	M12
MUSR0000SA211    	0000	SA211	S	R	S	DECEMBER 1982=100		1982	M12	1997	M12
MUSR0000SA2112   	0000	SA2112	S	R	S	1982-84=100		1967	M01	1997	M12
MUSR0000SA22     	0000	SA22	S	R	S	1982-84=100		1953	M01	1997	M12
MUSR0000SA221    	0000	SA221	S	R	S	1982-84=100		1967	M01	1997	M12
