industry_code	industry_name
113310	Logging	
211111	Crude petroleum and natural gas extraction	
211112	Natural gas liquids and residue gas	
212111	Bituminous coal and lignite surface mining	
212112	Bituminous coal underground mining	
212113	Anthracite mining	
212210	Iron ore mining	
212221	Gold ore mining	
212222	Silver ore mining	
212231	Lead ore & zinc ore mining	
212234	Copper ore and nickel ore mining	
212311	Dimension stone mining and quarrying	
212312	Crushed and broken limestone mining	
212313	Crushed and broken granite mining	
212319	Other crushed and broken stone mining	
212321	Construction sand and gravel mining	
212322	Industrial sand mining	
212324	Kaolin and ball clay mining	
212325	Clay, ceramic, and refractory minerals mining	
212391	Potash, soda, and borate mineral mining	
212392	Phosphate rock mining	
212393	Other chemical and fertilizer mineral mining	
212399	All other nonmetallic mineral mining	
213112	Support activities for oil and gas operations	
213113	Support activities for coal mining	
213114	Support activities for metal mining	
213115	Support activities for nonmetallic minerals	
221122	Electric power distribution	
221210	Natural gas distribution	
311111	Dog and cat food manufacturing	
311119	Other animal food manufacturing	
311211	Flour Milling	
311212	Rice milling	
311213	Malt manufacturing	
311221	Wet corn milling	
311222	Soybean processing	
311223	Other oilseed processing	
311225	Fats and oils refining and blending	
311230	Breakfast cereal manufacturing	
311311	Sugarcane mills	
311312	Cane sugar refining	
311313	Beet sugar manufacturing	
31132-	Choc & confectionery mfg from cacao beans	
311320	Confectionery manufacturing from cacao beans	
31133-	Confectionery mfg from purchased chocolate	
311330	Confectionery mfg. from purchased chocolate	
311411	Frozen fruit and vegetable manufacturing	
311412	Frozen specialty food manufacturing	
311421	Fruit and vegetable canning	
311422	Specialty canning	
311423	Dried and dehydrated food manufacturing	
311511	Fluid milk manufacturing	
311512	Creamery butter manufacturing	
311513	Cheese manufacturing	
311514	Dry, condensed, and evaporated dairy products	
311520	Ice cream and frozen dessert manufacturing	
311611	Animal, except poultry, slaughtering	
311613	Rendering and meat byproduct processing	
311615	Poultry processing	
311711	Seafood canning	
311712	Fresh and frozen seafood processing	
311812	Commercial bakeries	
311813	Frozen cakes and other pastries manufacturing	
311821	Cookie and cracker manufacturing	
311822	Mixes and dough made from purchased flour	
311823	Dry pasta manufacturing	
311830	Tortilla manufacturing	
311919	Other snack food manufacturing	
311920	Coffee and tea manufacturing	
311930	Flavoring syrup and concentrate manufacturing	
311941	Mayonnaise, dressing, and sauce manufacturing	
311942	Spice and extract manufacturing	
311991	Perishable prepared food manufacturing	
311999	All other miscellaneous food manufacturing	
312111	Soft drink manufacturing	
312112	Bottled water manufacturing	
312113	Ice manufacturing	
312120	Breweries	
312130	Wineries	
312140	Distilleries	
31221-	Tobacco stemming & redrying	
312210	Tobacco stemming and redrying	
31222-	Tobacco product mfg	
312221	Cigarette Manufacturing	
312229	Other tobacco product manufacturing	
313111	Yarn spinning mills	
313112	Yarn texturizing and twisting mills	
313113	Thread mills	
313210	Broadwoven fabric mills	
313221	Narrow fabric mills	
313222	Schiffli machine embroidery	
313230	Nonwoven fabric mills	
313241	Weft knit fabric mills	
313249	Other knit fabric and lace mills	
313311	Broadwoven fabric finishing mills	
313312	Other textile and fabric finishing mills	
313320	Fabric coating mills	
314110	Carpet and rug mills	
314121	Curtain and drapery mills	
314129	Other household textile product mills	
314911	Textile bag mills	
314912	Canvas and related product mills	
314991	Rope, cordage, and twine mills	
314992	Tire cord and tire fabric mills	
314999	All other miscellaneous textile product mills	
315110	Hosiery and sock mills	
315111	Sheer hosiery mills	
315119	Other hosiery and sock mills	
315191	Outerwear knitting mills	
315192	Underwear and nightwear knitting mills	
315211	Men's and boys' apparel contractors	
315212	Women's and girls' apparel contractors	
315221	Men's and boys' underwear and nightwear mfg	
315222	Men's and boys' suit, coat, and overcoat manufacturing	
315223	Men's and boys' shirt, except work shirt, mfg	
315224	Men's and boys' cut and sew trouser, slack and jean mfg.	
315225	Men's work clothing manufacturing	
315228	Other men's and boys' outerwear manufacturing	
31523-	Women's & girls' cut & sew apparel mfg	
315231	Women's and girls' lingerie and nightwear mfg	
315232	Women's and girls' blouse and shirt mfg	
315233	Women's and girls' dress manufacturing	
315234	Women's and girls' suit, coat, and skirt mfg	
315239	Other women's and girls' outerwear mfg	
31529-	Other cut and sew apparel manufacturing	
315291	Infants' cut and sew apparel manufacturing	
315292	Fur and leather apparel manufacturing	
315299	All other cut and sew apparel manufacturing	
315991	Hat, cap, and millinery manufacturing	
315992	Glove and mitten manufacturing	
315993	Men's and boys' neckwear manufacturing	
315999	All other accessory and apparel manufacturing	
316110	Leather and hide tanning and finishing	
316211	Rubber and plastics footwear manufacturing	
316212	House slipper manufacturing	
316213	Men's nonathletic footwear manufacturing	
316214	Women's nonathletic footwear manufacturing	
316219	Other footwear manufacturing	
316991	Luggage manufacturing	
316992	Women's handbag and purse manufacturing	
316993	Other personal leather good manufacturing	
316999	All other leather good manufacturing	
321114	Wood preservation	
321211	Hardwood veneer and plywood manufacturing	
321212	Softwood veneer and plywood manufacturing	
321213	Engineered wood member manufacturing	
321214	Truss manufacturing	
321219	Reconstituted wood product manufacturing	
321912	Cut stock, resawing lumber, and planing	
321918	Other millwork, including flooring	
321920	Wood container and pallet manufacturing	
321991	Manufactured home (mobile home) manufacturing	
321992	Prefabricated wood building manufacturing	
321999	All other miscellaneous wood product manufacturing	
322110	Pulp Mills	
322121	Paper, except newsprint, mills	
322130	Paperboard mills	
322211	Corrugated and solid fiber box manufacturing	
322212	Folding paperboard box manufacturing	
322213	Setup paperboard box manufacturing	
322214	Fiber can, tube, and drum manufacturing	
322215	Nonfolding sanitary food container mfg.	
322221	Coated and laminated packaging materials mfg	
322222	Coated and laminated paper manufacturing	
322223	Plastics, foil, and coated paper bag mfg	
322224	Uncoated paper and multiwall bag mfg.	
322225	Flexible packaging foil manufacturing	
322226	Surface-coated paperboard manufacturing	
322231	Die-cut paper and paperboard office supplies manufacturing	
322232	Envelope manufacturing	
322233	Stationery and related product manufacturing	
322291	Sanitary paper product manufacturing	
323110	Commercial lithographic printing	
323111	Commercial gravure printing	
323112	Commercial flexographic printing	
323113	Commercial screen printing	
323114	Quick printing	
323115	Digital printing	
323116	Manifold business forms printing	
323118	Blankbook and looseleaf binder manufacturing	
323119	Other commercial printing	
323121	Tradebinding and related work	
323122	Prepress services	
324110	Petroleum refineries	
324121	Asphalt paving mixture & block mfg.	
324191	Petroleum lubricating oil and grease manufacturing	
324199	All other petroleum and coal products mfg.	
325120	Industrial gas manufacturing	
325131	Inorganic dye and pigment manufacturing	
325132	Synthetic organic dye and pigment mfg.	
325180	Other basic inorganic chemical manufacturing	
325181	Alkalies and chlorine manufacturing	
325182	Carbon black manufacturing	
325188	All other basic inorganic chemical manufacturing	
325191	Gum and wood chemical manufacturing	
325192	Cyclic crude and intermediate manufacturing	
325193	Ethyl alcohol manufacturing	
325199	All other basic organic chemical manufacturing	
325212	Synthetic rubber manufacturing	
325220	Artificial fibers and filaments manufacturing	
325221	Cellulosic organic fiber manufacturing	
325222	Noncellulosic organic fiber mfg	
325311	Nitrogenous fertilizer manufacturing	
325312	Phosphatic fertilizer manufacturing	
325314	Fertilizer, mixing only, manufacturing	
325320	Pesticide and other agricultural chemical manufacturing	
325411	Medicinal and botanical manufacturing	
325412	Pharmaceutical preparation manufacturing	
325413	In-vitro diagnostic substance manufacturing	
325414	Biological product (except diagnostic) manufacturing	
32541D	Pharmaceutical preparations by Rx and OTC.	
325510	Paint and coating manufacturing	
325520	Adhesive manufacturing	
325611	Soap and other detergent manufacturing	
325612	Polish and other sanitation good mfg.	
325613	Surface active agent manufacturing	
325620	Toilet preparation manufacturing	
325910	Printing ink manufacturing	
325920	Explosives manufacturing	
325991	Custom compounding of purchased resins	
325992	Photographic film and chemical manufacturing	
325998	Other miscellaneous chemical product mfg.	
326113	Nonpackaging plastics film and sheet mfg.	
326121	Unlaminated plastics profile shape manufacturing	
326122	Plastics pipe and pipe fitting manufacturing	
326130	Laminated plastics plate, sheet (except packaging), and shape manufacturing	
326140	Polystyrene foam product manufacturing	
326160	Plastics bottle manufacturing	
326191	Plastics plumbing fixture manufacturing	
326192	Resilient floor covering manufacturing	
326199	All other plastics product manufacturing	
326211	Tire manufacturing (except retreading)	
326220	Rubber and plastics hose and belting mfg.	
326291	Rubber product mfg. for mechanical use	
326299	All other rubber product manufacturing	
327111	Vitreous china plumbing fixture manufacturing	
327112	Vitreous china and earthenware articles mfg	
327113	Porcelain electrical supply manufacturing	
327121	Brick and structural clay tile manufacturing	
327122	Ceramic wall and floor tile manufacturing	
327123	Other structural clay product manufacturing	
327124	Clay refractory manufacturing	
327125	Nonclay refractory manufacturing	
327211	Flat glass manufacturing	
327212	Other pressed and blown glass and glassware	
327213	Glass container manufacturing	
327215	Glass product mfg. made of purchased glass	
327310	Cement manufacturing	
