industry_code	product_code	product_name
113310	1133101	Softwood logs and bolts	
113310	1133103	Hardwood logs and bolts	
113310	1133105	Pulpwood	
113310	1133107	Other roundwood products, NEC	
113310	1133109	Receipts for contract logging of timber owned by others	
211111	2111115	Natural gas (from the well head)	
211112	2111122	Natural gas liquids	
211112	211112221	Isopentane and natural gasoline	
211112	211112231	Propane	
211112	211112232	Butane	
211112	211112298	Ethane, gas mixtures, and other natural gas liquids	
211112	211112M	Miscellaneous receipts	
212111	212111101	For use without preparation	
212111	212111103	For preparation at other establishments	
212111	2121112	Prepared bituminous coal and lignite from surface operations	
212111	212111201	Mechanically cleaned by wet-washing, pneumatic, or other methods	
212111	212111217	Other preparation only: bituminous coal	
212111	212111218	Other preparation only: subbituminous coal	
212111	212111219	Other preparation only: lignite	
212111	21211132	Processed bituminous coal from surface operations (mechanically crushed/screened/or sized)	
212111	21211133	Processed subbituminous coal from surface operations (mechanically crushed/screened/or sized)	
212111	21211134	Processed lignite coal from surface operations (mechanically crushed/screened/or sized)	
212111	212111M	Miscellaneous receipts	
212111	212111S	Secondary products	
212112	2121122	Prepared bituminous coal shipped from underground operations	
212112	212112201	Mechanically cleaned by wet-washing, pneumatic, or other methods	
212112	212112217	Other preparation only, such as mechanical crushing, screening, or sizing	
212113	212113M	Miscellaneous receipts	
212113	212113SM	Secondary products and miscellaneous receipts	
212210	2122108	Iron ores	
212221	2122213	Gold mill bullion and placer gold	
212222	212222	Silver ore mining	
212222	212222P	Primary products	
212231	2122312	Lead and zinc concentrates	
212231	212231214	Lead concentrates	
212231	212231215	Zinc concentrates	
212231	212231P	Primary products	
212234	2122343	Copper concentrates	
212234	2122345	Copper precipitates and electrowon copper	
212311	2123111	Dimension stone	
212311	2123112	Dimension stone mining and quarrying	
212312	2123123	Crushed and broken limestone	
212313	2123132	Crushed and broken granite	
212319	2123191	Other crushed and broken stone mining and quarrying	
212321	2123211	Construction sand and gravel (run of pit or bank)	
212321	2123212	Construction sand and gravel (washed, screened, or otherwise treated)	
212321	21232121	Construction sand (washed, screened, or otherwise treated)	
212321	21232122	Construction gravel (washed, screened, or otherwise treated)	
212321	2123213	Construction sand	
212321	21232138	Mountain	
212321	21232139	Pacific	
212321	2123213A	Northeastern Region	
212321	2123213B	North Central Region	
212321	2123213C	Southern Region	
212321	2123213D	Western Region	
212321	2123215	Construction gravel	
212321	21232158	Mountain	
212321	21232159	Pacific	
212321	2123215A	Northeastern Region	
212321	2123215B	North Central Region	
212321	2123215C	Southern Region	
212321	2123215D	Western Region	
212322	2123225	Industrial molding sand	
212324	2123241	Crude kaolin and ball clay	
212324	2123242	Prepared kaolin and ball clay	
212325	2123251	Bentonite	
212325	2123252	Fire clay	
212325	2123253	Fuller's earth	
212325	2123254	Fire clay	
212325	2123256	Feldspar (crude, crushed, or ground)	
212325	2123257	Common (miscellaneous) clay and shale	
212325	212325A	Feldspar (crude, crushed, or ground)	
212325	212325C	Bentonite	
212325	212325D	Fuller's earth	
212391	2123912	Processed or refined potassium salts	
212391	2123914	Boron compounds	
212391	2123915	Potassium salts and boron compounds	
212392	212392	Phosphate rock mining	
212392	2123921	Crude phosphate rock (ore or matrix)	
212392	212392101	Crude phosphate ore or matrix	
212392	2123922	Prepared phosphate rock	
212392	212392201	Washed or concentrated phosphate rock	
212392	212392206	Dried phosphate rock	
212392	2123923	Prepared phosphate rock	
212392	212392P	Primary products	
212393	2123931	Barite	
212393	2123934	Sulfur	
212393	2123935	Native sulfur	
212393	2123939	Chemical and fertilizer mineral mining, n.e.c.	
212399	212399M	Miscellaneous receipts	
213112	2131122	Other oil and gas field support services	
213112	213112S	Secondary products	
213113	2131134	Support activities for coal mining	
213114	2131148	Metal mining services	
213115	2131158	Nonmetallic minerals support activity (except fuels)	
213115	213115M	Miscellaneous receipts	
213115	213115S	Secondary products	
221122	22112244	Other customers	
221210	221210116	Other customers	
311111	31111112	Dry and semi moist dog food, shipped in packages less than 25 lbs.	
311111	31111113	Dry and semi moist dog food, shipped in packages of 25 lbs. or more	
311111	3111113	Dog food	
311111	311111324	Canned dog food, including ration type	
311111	311111326	Dry and semimoist dog food in packages of less than 25 pounds	
311111	311111338	Dry and semimoist dog food in packages of 25 pounds or more	
311111	311111401	Canned cat food	
311111	311111402	Dry and semimoist cat food	
311111	31111141	Canned cat food, fish-base	
311111	31111142	Canned cat food, meat-base or other	
311111	31111143	Cat food, dry or semi moist	
311111	311111M	Miscellaneous receipts	
311119	31111911	Complete chicken feed, starter-growers and layer-breeders	
311119	31111912	Complete chicken feed, broilers	
311119	31111913	Turkey feed and chicken and turkey supplements, concentrates, and premixes	
311119	3111194	Dairy cattle feed, complete	
311119	3111197	Dairy cattle feed supplements, concentrates, and premixes	
311119	311119A	Swine feed, complete	
311119	311119D	Swine feed supplements, concentrates, and premixes	
311119	311119G	Beef cattle feed, complete	
311119	311119J	Beef cattle feed supplements, concentrates, and premixes	
311119	311119T	Specialty feed incl. for lab animals, fur animals, specialty birds and fish etc.	
311211	31121111	All white flour types	
311211	31121118	Whole wheat flour, incl. durum, semolina & bulgur	
311211	311211D	Other grain mill products, incl. rye, oat, buckwheat, & other flour	
311212	31121201	Head rice not packaged with other ingredients, packed in bags of 100 lbs or more	
311212	31121202	Head rice not packaged with other ingredients, packed in containers of 3 lbs or less	
311212	31121203	Head rice not packaged with other ingredients, packed in all other containers	
311212	3112121	Milled rice and byproducts	
311212	31121211	Head rice packed in bags 100 lbs or more	
311212	31121212	Head rice packed in containers 3 lbs or less	
311212	31121213	Head rice packed in all other size containers	
311212	31121214	Milled rice (and byproducts)	
311213	3112131	Malt and malt by-products	
311213	311213M	Miscellaneous receipts	
311213	311213MM	Miscellaneous receipts	
311221	3112217	Corn oil	
311222	311222	Soybean processing	
311222	3112221	Soybean oil	
311222	31122211	Crude soybean oil, degummed	
311222	31122212	Soybean oil, all other types	
311222	3112224	Soybean cake, meal, and other byproducts	
311222	31122241	Soybean cake and meal	
311222	31122242	Other soybean products, including isolates and concentrates	
311222	311222M	Miscellaneous receipts	
311222	311222P	Primary products	
311222	311222S	Secondary products	
311222	311222S1	Secondary products	
311222	311222SM	Secondary products and miscellaneous receipts	
311223	311223	Other oilseed processing	
311223	3112231	Crude cottonseed oil	
311223	3112234	Cottonseed oil, once refined, after alkali or caustic wash but before deodorizing	
311223	3112237	Cotton linters	
311223	311223A	Cottonseed cake and meal and other byproducts	
311223	311223A1	Cottonseed cake and meal	
311223	311223A2	Cottonseed oil: refined, deodorized, purchased and other cottonseed byproducts	
311223	311223D	Linseed oil	
311223	311223G	Other vegetable oils	
311223	311223J	Other vegetable oil mill products	
311223	311223M	Miscellaneous receipts	
311223	311223P	Primary products	
311223	311223S	Secondary products	
311225	3112251	Shortening and cooking oils (edible)	
311225	31122511	Baking or frying fats (shortening), 100% vegetable oil (edible)	
311225	31122512	Baking or frying fats (shortening), 100% animal fat or blends of vegetable oil &	
311225	31122513	Edible hydrogenated oils other than baking or frying fats	
311225	31122514	Partially hydrogenated edible soybean cooking or salad oil (fully-refined & deod	
311225	31122515	All other fully-refined edible shortening & cooking oils, except corn	
311225	31122517	Vegetable oil mills, except corn, cottonseed & soybean (processing purchased veg	
311225	31122521	Baking or frying fats (shortening), 100 percent vegetable oil, edible	
311225	31122522	Baking or frying fats (shortening), 100 pct animal fat or blends of vegetable oil & animal fat	
311225	31122523	Hydrogenated oils, except baking or frying fats, edible	
311225	31122524	Partially hydrogenated soybean cooking or salad oil, fully refined & deodorized, edible	
311225	31122525	All other fully refined shortening and cooking oils, edible	
311225	31122527	Vegetable oil mills (processing purchased vegetable oils), except corn, cottonseed, and soybean	
311230	31123011	Ready to serve corn flakes and other corn breakfast foods (except infant cereals)	
311230	311230111	Corn flakes and other corn breakfast foods	
311230	311230112	Wheat flakes and other wheat breakfast foods	
311230	311230115	Oat breakfast foods	
311230	311230118	Rice and other grains and mixed grain breakfast foods and preparations	
311230	31123012	Ready to serve wheat flakes and other wheat breakfast foods (except infant cereals)	
311230	31123013	Ready to serve oat breakfast foods (except infant cereals)	
311230	31123014	Ready to serve rice breakfast foods (except infant cereals)	
311230	31123015	Ready-to-serve breakfast preparations of other grains & mixed grains (except infant cereals)	
311230	31123016	Rice breakfast food cereals (except infant cereals)	
311230	3112304	Other breakfast cereal foods	
311230	311230M	Miscellaneous receipts	
311311	311311	Sugarcane mills	
311311	3113110	Sugarcane mill products and byproducts	
311311	3113111	Raw cane sugar and other cane mill products and byproducts	
311311	311311P	Primary products	
311312	311312	Cane sugar refining	
311312	3113120	Refined granulated cane sugar and by-products	
311312	3113121	Refined cane sugar and byproducts	
311312	311312P	Primary products	
311312	311312S	Secondary products	
311313	3113131	Refined beet sugar and byproducts	
31132-	31132-	Choc & confectionery mfg from cacao beans	
311320	311320	Confectionery manufacturing from cacao beans	
311320	3113201	Chocolate coatings, made from cacao beans	
311320	31132011	Milk chocolate coatings, made from cacao beans	
311320	311320122	Milk chocolate coatings	
311320	311320172	Other coatings including sweet, liquor, and cocoa	
311320	3113202	Chocolate confectionery products made from cocoa beans ground in the same establishment	
311320	311320295	Panned, assortments, and other chocolate confectionery products	
311320	3113202A	Solid chocolate confectionery products, with or without inclusions	
311320	3113202B	Enrobed or molded chocolate confectionery products with any type of center	
311320	3113204	Chocolate and chocolate-type confectionery products, made from cacao beans	
311320	3113207	Other chocolate and cocoa products, made from cacao beans	
311320	31132071	Sweetened chocolate, except coatings, made from cacao beans	
311320	31132072	Unsweetened choc & sweetened & unsweetened cocoa powder, ex. coatings, made from cacao beans	
311320	31132073	Cocoa butter, liquor, and cocoa base chocolate syrup, made from cacao beans	
311320	3113209	Other chocolate and cocoa products including syrups and cocoa butter	
311320	311320P	Primary products	
311320	311320S	Secondary products	
311320	311320SS	Secondary products	
31133-	31133-	Confectionery mfg from purchased chocolate	
311330	311330	Confectionery mfg. from purchased chocolate	
311330	3113301	Choc & choc-type confectionery products, made from purch choc not retailed at mfg location	
311330	3113302	Choc & choc-type confectionery products, made from purch choc retailed at mfg establishment	
311330	311330M	Miscellaneous receipts	
311330	311330P	Primary products	
311330	311330S	Secondary products	
311411	31141112	Frozen concentrated orange juice, consumer, institutional, and bulk	
311411	311411179	Frozen concentrated orange juice	
311411	311411195	Other frozen concentrated fruit and berry juices	
311411	311411197	Citrus pulp and other nonedible citrus byproducts	
311411	3114111A	Frozen fruits, melons, and berries	
311411	3114111B	Frozen concentrated fruit and berry juices	
311411	3114111C	Frozen concentrated fruit ades and nonalcoholic drinks and cocktails	
311411	3114112	Frozen vegetable and potato products including combinations	
311411	311411214	Frozen vegetables, except for potato products and vegetable combinations	
311411	311411245	Frozen vegetable combinations including those mixed with sauces, rice, & pasta	
311411	311411248	Frozen french fried potatoes	
311411	311411249	Other frozen potato products, including hashbrowns, patties, puffs, etc.	
311411	31141141	Frozen vegetables (asparagus, green beans, lima beans, broccoli, brussels sprouts, carrots, ca	
311411	31141142	Frozen vegetable combinations (succotash, peas and carrots, mixed vegetables, vegetables with	
311411	31141143	Frozen French-fried potatoes	
311411	31141144	Other frozen potato products (patties, puffs etc.)	
311412	31141216	Frozen pizza	
311412	31141217	Frozen nationality foods, except pizza	
311412	31141218	Frozen dinners, entrees, and side dishes	
311412	3114122	Frozen dinners, entrees and side dishes	
311412	311412223	Frozen dinners	
311412	311412226	Frozen entrees and side dishes (excluding rice dishes and nationality foods)	
311412	311412252	Frozen pizza	
311412	311412299	All other frozen dinner foods incl. meat pies, nationality foods and rice dishes	
311412	311412463	Frozen waffles, pancakes, and french toast	
311412	311412469	Other frozen specialties, except seafood, including soups, and whipped topping	
311421	3114214	Canned vegetables, except hominy and mushrooms	
311421	3114217	Canned hominy and mushrooms	
311421	311421J	Canned fruit juices, nectars and concentrates	
311421	311421N	Fresh fruit juices and nectars	
311422	3114221	Canned baby foods, except cereal and biscuits	
311422	3114222	Canned soups, except frozen or seafood	
311422	3114223	Canned dry beans including baked	
311422	3114224	Canned specialty foods	
311422	3114229	Canned baby foods (except cereal & biscuits) and other canned specialties and nationality foods	
311422	311422A	Canned soups, except frozen and seafood	
311422	311422B	Other canned specialties and nationality foods	
311423	3114234	Dried and dehydrated fruits and vegetables (including freeze-dried)	
311511	3115114	Packaged fluid milk and related products, incl. cartons, bottles, cans etc.	
311511	31151141	Fluid whole milk, packaged (including U.H.T.)	
311511	31151142	Reduced fat 2% milk, 1% lowfat milk, and 0.5% milk, packaged (including U.H.T.)	
311511	31151143	Fat free or skim milk, packaged (including U.H.T.)	
311511	31151144	Cream, half-and-half, and dairy-based whipped toppings	
311512	3115121	Creamery butter	
311513	31151311	Natural cheese, excl. low fat, shipped in consumer packages (3 lbs. or less)	
311513	3115131151	Low fat natural cheese, except cottage cheese, shipped in all sizes	
311513	31151312	Natural cheese, excl. low fat, shipped in packages of more than 3 lbs. or bulk	
311513	31151313	Low fat natural cheese, except cottage cheese, shipped in all sizes	
311513	3115133	Natural cheese, except cottage cheese	
311513	311513302	American-type cheese	
311513	31151330201	Cheddar cheese	
311513	31151330211	Other American-type cheese	
311513	311513303	Italian-type cheese	
311513	31151330301	Mozzarella cheese	
311513	31151330311	Other Italian-type cheese	
311513	311513305	Swiss cheese	
311513	311513307	Cream and Neufchatel cheese	
311513	311513311	Other natural cheese, except cottage	
311513	311513411	Processed cheese	
311513	311513413	Cheese food	
311513	311513415	Cheese spread	
311513	311513419	Other related processed cheese products	
311514	3115144	Canned milk products, consumer cans incl evap. and condensed, excl. substitutes	
311520	3115201	Ice cream and frozen desserts	
311520	31152011	Ice cream, excl. lowfat and nonfat incl custards, shipped bulk (3 gal or more)	
311520	311520114	Bulk ice cream or custard with conventional fat content (3 gallons or more)	
311520	311520115	Consumer-size ice cream and custard (16 oz. to less than 3 gallons)	
311520	31152011502	Superpremium and premium	
311520	31152011503	Regular and economy	
311520	311520117	Novelty forms of ice cream & custard (conventional fat content)	
311520	311520119	Reduced fat/nonfat ice cream (ice milk); all forms (bulk, consumer, or novelty)	
311520	31152012	Ice cream, excl. lowfat and nonfat, incl custards, (sizes less than 3 gal)	
311520	311520121	Frozen yogurt; including nonfat	
311520	311520123	Other frozen desserts; e.g., tofu, mellorine, sherbets, sorbets, ices, & pops	
311520	31152013	Novelty form ice cream, excluding lowfat and nonfat (including custards)	
311520	31152014	Lowfat and nonfat ice cream, including custards and novelty forms	
311520	31152015	Other frozen desserts (yogurt, sherbet, water ices, mellorine, pudding etc.)	
311520	3115201A	Conventional ice cream or custard and reduced fat ice cream (ice milk)	
311520	3115201B	Frozen dairy and nondairy desserts other than ice cream or ice milk	
311611	31161111	Whole or half carcass & primal beef cuts not canned or made into sausage; mitse	
311611	31161112	Subprimal & fabricated beef cuts however packed incl. plastic lined boxes; mitse	
311611	31161113	Fresh/frozen boneless beef incl hamburger, not canned/made into sausage; mitse	
311611	31161114	Other fresh/frozen beef incl. corned or organ cuts, not canned or sausage; mitse	
311611	3116111A	Fresh and frozen whole carcass and half carcass beef; not canned or made into sausage, m.i.s.p.	
311611	3116111B	Fresh and frozen beef primal cuts, not canned or made into sausage, m.i.s.p.	
311611	3116111C	Fresh/frozen subprimal & fabricated cuts (boxed beef), not canned or made into sausage, m.i.s.p	
311611	3116111D	Other fresh and frozen beef subprimal or fabricated cuts, not canned or sausage, m.i.s.p.	
311611	3116111E	Fresh and frozen boneless beef including hamburger, not canned or made into sausage, m.i.s.p.	
311611	3116111F	Fresh & frozen beef variety meats incl. edible organs not canned or made into sausage, m.i.s.p.	
311611	311611T	Miscellaneous by-products of meat packing; mitse	
311613	3116131	Lard and other greases, except wool grease	
311613	3116134	Animal and marine feed and fertilizer byproducts	
311613	31161341	Meat and bone meal feed and fertilizer byproducts	
311613	31161342	Other feed and fertilizer byproducts	
311615	31161511	Wet ice packed broilers and fryers (usually under 20 weeks of age), bulk	
311615	3116151111	Bulk wet ice pack broilers and fryers	
311615	31161512	Dry ice pack broilers and fryers (usually under 20 weeks of age), bulk	
311615	3116151221	Bulk dry ice packed broilers and fryers, and roasters, and capons incl. frozen	
311615	31161513	Tray pack (consumer packaged) broilers and fryers (usually under 20 weeks of age), chilled	
311615	3116151331	Tray pack broilers and fryers (consumer packaged), chilled	
311615	31161514	Other broilers and fryers (usually under 20 weeks of age), including frozen	
311615	3116151441	Other broilers and fryers, including frozen	
311615	31161515	Roasters and capons (usually under 20 weeks of age), including frozen	
311615	31161516	Bulk dry ice packed broilers and fryers, and roasters, and capons incl. frozen	
311615	3116154	Hens and/or fowl (including frozen whole or parts)	
311711	311711	Seafood canning	
311711	3117110	Canned and cured fish and seafood, including soups, stews, and chowders	
311711	31171106	Canned seafood soups, stews and chowders	
311711	31171107	Smoked, salted, sun-dried, pickled fish and other cured seafood	
311711	3117111	Canned & cured fish & seafoods, incl soup (except frozen)	
311711	31171111	Canned fish and seafood (except frozen), incl salmon, sardines and tuna	
311711	31171116	Canned seafood soups, stews & chowders	
311711	31171117	Smoked, salted, pickled & cured fish & seafood	
311711	311711M	Miscellaneous receipts	
311711	311711P	Primary products	
311711	311711S	Secondary products	
311711	311711SS	Secondary products	
311712	311712	Fresh and frozen seafood processing	
311712	3117121	Prepared fresh fish and other fresh seafood	
311712	3117122	Prepared frozen fish	
311712	3117123	Prepared frozen shellfish	
311712	31171231	Prepared frozen shrimp (raw, cooked, and breaded)	
311712	31171232	Prepared frozen shellfish (lobster, crab, other shrimp products)	
311712	3117124	Other prepared frozen seafoods	
311712	31171241	Prepared frozen surimi and other prepared frozen seafoods	
311712	31171242	Fresh or frozen fish and marine animal oil, scrap, and meal	
311712	311712M	Miscellaneous receipts	
311712	311712MM	Miscellaneous receipts	
311712	311712P	Primary products	
311712	311712S	Secondary products	
311812	31181211	White pan bread, including frozen	
311812	31181212	White hearth bread, including french and italian	
311812	31181213	Wholewheat, cracked wheat, multigrain and other darkwheat breads	
311812	31181214	Other variety breads, incl. unleavened, rye, raisin,pumpernickel, etc.	
311812	3118124	Bread type rolls, muffins, bagels and croissants	
311812	31181241	Hamburger and wiener rolls	
311812	31181242	All other bread rolls & stuffing, incl muffins, bagels, and croissants	
311813	31181301	Frozen soft cakes (including pound, layer, sheet, cheese, etc.)	
311813	31181302	Frozen pies	
311813	31181303	All other frozen pastries	
311813	3118131	Frozen bakery products, incl. pies, cakes, sweet yeast goods, pastries, etc.	
311821	3118211	Crackers, soft pretzels, biscuits, and related products	
311821	31182125	Crackers, biscuits, and related products	
311821	31182141	Sandwich cookies (except frozen), made from cookies made in same plant	
311821	31182142	Chocolate chip cookies (except frozen)	
311821	31182143	Marshmallow, creme-filled & oatmeal cookies, wafers, toaster pastries, ice cream cones & cups	
311822	311822	Mixes and dough made from purchased flour	
311822	3118220	Prepared flour mixes (incl refrigerated & frozen doughs & batters) made from purchased flour	
311822	31182201	Cake mixes, incl gingerbread, made from purchased flour	
311822	31182202	Flour mixes (refrigerated & frozen doughs & batters), ex cake mixes, made from purchased flour	
311822	3118221	Flour mixes & refrigerated & frozen doughs & batters not made in flour mills	
311822	31182211	Cake mixes, incl gingerbread, not made in flour mills	
311822	31182212	Flour mixes & refrigerated & frozen dough & batter not made in flour mills	
311822	3118226	Flour mixes and refrigerated and frozen doughs and batters, made from purchased	
311822	31182261	Flour mixes	
311822	311822611	Cake mixes, including gingerbread	
311822	311822613	All other flour based mixes, except cake mixes	
311822	31182264	Refrigerated doughs and batters incl bread, bread-type rolls, and biscuit dough	
311822	31182266	Frozen doughs and batters	
311822	311822661	Frozen bread and bread-type-roll doughs, all sizes	
311822	311822662	All other frozen doughs and batters, incl. cookie, pizza, coffee cake, etc.	
311822	311822M	Miscellaneous receipts	
311822	311822MM	Miscellaneous receipts	
311822	311822P	Primary products	
311822	311822S	Secondary products	
311822	311822SS	Secondary products	
311823	311823	Dry pasta manufacturing	
311823	3118230	Dry macaroni, spaghetti and egg noodle products, mitse (except canned or frozen)	
311823	31182301	Dry macaroni, spaghetti, vermicelli, & other pasta prods, ex. noodles, mitse	
311823	31182302	Dry macaroni, spaghetti, vermicelli, & other macaroni prods, mitse, pkgd w/ other ingredients	
311823	3118233	Macaroni, spaghetti, vermicelli, and noodles	
311823	311823M	Miscellaneous receipts	
311823	311823P	Primary products	
311823	311823S	Secondary products	
311830	3118301	Tortillas, not frozen	
311919	31191941	Tortilla chips	
311919	31191943	Corn curls and related products	
311919	31191949	Corn and tortilla chips	
311920	31192011	Whole bean roasted coffee	
311920	31192019	Ground roasted coffee (including extended yield)	
311920	3119204	Coffee, concentrated (including extracts or mixes)	
311930	3119305	Soft drink flavoring syrup sold in bulk	
311930	3119307	Other flavoring agents (except chocolate syrup)	
311941	31194141	Prepared mustard	
