series_id	industry_code	product_code	seasonal	bench_date	footnote_codes	begin_year	begin_period	end_year	end_period
NDU1133101133101              	113310	1133101	U	198112	          	1981	M12	2011	M11
NDU1133101133103              	113310	1133103	U	198112	          	1981	M12	2011	M13
NDU1133101133105              	113310	1133105	U	198112	          	1981	M12	2011	M13
NDU1133101133107              	113310	1133107	U	198206	          	1982	M06	2011	M13
NDU1133101133109              	113310	1133109	U	198112	          	1981	M12	2011	M13
NDU2111112111115              	211111	2111115	U	198406	          	1975	M12	2006	M13
NDU2111122111122              	211112	2111122	U	198406	          	1984	M06	2006	M13
NDU211112211112221            	211112	211112221	U	198406	          	1984	M06	2006	M13
NDU211112211112231            	211112	211112231	U	198406	          	1984	M06	2006	M13
NDU211112211112232            	211112	211112232	U	198406	          	1984	M06	2006	M13
NDU211112211112298            	211112	211112298	U	199606	          	1996	M06	2006	M13
NDU211112211112M              	211112	211112M	U	200206	          	2002	M06	2002	M12
NDU212111212111101            	212111	212111101	U	200112	          	2001	M12	2006	M13
NDU212111212111103            	212111	212111103	U	200112	          	2001	M12	2006	M13
NDU2121112121112              	212111	2121112	U	200112	          	2001	M12	2006	M13
NDU212111212111201            	212111	212111201	U	200112	          	2001	M12	2006	M13
NDU212111212111217            	212111	212111217	U	200112	          	2001	M12	2006	M13
NDU212111212111218            	212111	212111218	U	200112	          	2001	M12	2006	M13
NDU212111212111219            	212111	212111219	U	200112	          	2001	M12	2006	M13
NDU21211121211132             	212111	21211132	U	200112	          	2001	M12	2011	M13
NDU21211121211133             	212111	21211133	U	200112	          	2001	M12	2011	M13
NDU21211121211134             	212111	21211134	U	200112	          	2001	M12	2011	M13
NDU212111212111M              	212111	212111M	U	200112	          	2001	M12	2008	M05
NDU212111212111S              	212111	212111S	U	200112	          	2001	M12	2008	M06
NDU2121122121122              	212112	2121122	U	200112	          	2001	M12	2006	M13
NDU212112212112201            	212112	212112201	U	200112	          	2001	M12	2006	M13
NDU212112212112217            	212112	212112217	U	200112	          	2001	M12	2006	M13
NDU212113212113M              	212113	212113M	U	197912	          	1979	M12	1980	M12
NDU212113212113SM             	212113	212113SM	U	197912	          	1979	M12	1980	M12
NDU2122102122108              	212210	2122108	U	199712	          	1997	M12	2011	M13
NDU2122212122213              	212221	2122213	U	198506	          	1985	M06	2006	M13
NDU212222212222               	212222	212222	U	198312	          	1983	M12	1993	M08
NDU212222212222P              	212222	212222P	U	198312	          	1983	M12	1993	M08
NDU2122312122312              	212231	2122312	U	198512	          	1985	M12	2002	M06
NDU212231212231214            	212231	212231214	U	198512	          	1985	M12	1996	M01
NDU212231212231215            	212231	212231215	U	198512	          	1985	M12	2002	M06
NDU212231212231P              	212231	212231P	U	198512	          	1985	M12	2002	M06
NDU2122342122343              	212234	2122343	U	200106	          	2001	M06	2008	M11
NDU2122342122345              	212234	2122345	U	200106	          	2001	M06	2010	M13
NDU2123112123111              	212311	2123111	U	198506	          	1985	M06	2006	M13
NDU2123112123112              	212311	2123112	U	198506	          	1985	M06	2005	M06
